"ca","k","MAP","integralfnoc rel error (%)","averw rel error (%)","averE rel error (%)","averA rel error (%)","averw","averE","averA"
400,0.025,100,6.16178575352672e-07,0.01502529098267,10.0493502428242,0.000143187849598053,0.162102045105426,0.000547945751827203,2.33483931994793
400,0.05,100,0.000405462040567405,0.000233230457859372,3.52384102471207,0.00027426086210016,0.163410221886534,0.000547943533860844,2.70742016215996
400,0.1,100,0.00123896795357131,0.00105366000479737,0.688040288782889,0.000130133524768549,0.16435675154907,0.00054794520379182,2.97181408369696
400,0.025,200,0.0119835500659178,0.0107824985448634,3.31733187193906,5.22075217034499e-05,0.167995151782501,0.00109589081857958,3.39727558783667
400,0.05,200,0.000129231852323037,0.000172964562224598,2.41386298694393,7.93220025027125e-05,0.168755351742829,0.00109588977942987,4.08175164569032
400,0.1,200,4.0431854101789e-05,2.55076061356446e-05,0.725186631043472,2.62162359796377e-05,0.169715294493998,0.00109587571681749,4.66146979980729
400,0.025,300,0.0102912246351157,0.00885587513100971,1.71183883013835,3.24522790666272e-05,0.17528618180639,0.00164381301586149,4.16123626218113
400,0.05,300,0.000209259903661332,0.0002293461016433,1.25095137176962,4.43110917450559e-05,0.174157540866216,0.00164383521319777,5.02160018158314
400,0.1,300,2.37926505109694e-07,1.11270687072946e-06,0.601832808473903,1.14254161398621e-05,0.174466970038405,0.00164383445560441,5.80702312930776
400,0.025,400,0.00922876887337896,0.00752423722517718,1.09084209916903,2.37105495278272e-05,0.184820694430233,0.00219108719643542,4.80249629283719
400,0.05,400,0.00022382022713274,0.00022690434803147,0.7664536639112,3.05286339485299e-05,0.18040655416579,0.00219178021489497,5.76358818227224
400,0.1,400,3.95049563736937e-06,5.97289174693331e-06,0.434856706343145,0.00960379777835955,0.179364838122165,0.00219178002342747,6.6790194427077
400,0.025,500,0.00843179558123255,0.00644902745263115,4.16737236775173,1.86407590227437e-05,0.196894867571508,0.00273420540942211,5.37638874275284
400,0.05,500,0.000220481322184594,0.0440747071631741,0.520547688321939,2.31389778802402e-05,0.187930109961889,0.00273971009947454,6.39542104697983
400,0.1,500,6.39965393439202e-06,7.61377834500015e-06,0.301236379521512,0.00544950396295037,0.184743475567029,0.00273972542129315,7.39050134762282
400,0.025,600,0.00777943622442513,0.00554261806998021,2.98834730613235,1.52779234144029e-05,0.211285582482038,0.00326548170513195,5.90218792165733
400,0.05,600,0.000211151613062871,0.024762578107695,0.378598813084936,1.84693071417759e-05,0.197083115654188,0.00328745135365703,6.95812888517717
400,0.1,600,7.27909373982042e-06,7.79376016614176e-06,0.213821113757641,0.00352183968863517,0.19084451637337,0.00328767072286027,7.9978560901539
400,0.025,700,0.0072229535450375,0.00478075046573812,2.24241051260759,1.28774816699675e-05,0.227370242338821,0.00377516187991187,6.38529043774429
400,0.05,700,0.000199610300420643,0.0145261139489027,0.287912768639465,1.52074280620105e-05,0.208172367558404,0.00383416577884593,7.47340321450844
400,0.1,700,7.42503187682253e-06,7.38747016170821e-06,0.15731506521305,0.00246753477163695,0.197895663882314,0.00383561510353579,8.53282070538008
400,0.025,800,0.00673963126669028,0.00414938160114868,1.76300361040832,1.10873679413936e-05,0.244386261276881,0.00425477199502023,6.8266203563569
400,0.05,800,0.000187303597973292,0.00872095888140541,0.225859546624519,1.27756902610255e-05,0.221393916555292,0.00437759784622148,7.95297102608089
400,0.1,800,7.22376569877277e-06,6.74614403138117e-06,0.119245700155919,0.00182352099723628,0.2061438822948,0.00438354694271549,9.01484317202956
400,0.025,900,0.00631674196599153,0.00363198753780477,1.43264289705871,9.71283720544688e-06,0.261638981849938,0.00469887143956702,7.22674072044788
400,0.05,900,0.000174892736075031,0.00529265845711559,0.181329222037765,1.08833030632793e-05,0.236757755689759,0.00491367275360633,8.40256640738603
400,0.1,900,6.85368984954148e-06,6.02043222449593e-06,0.0924634161187303,0.00139776212122524,0.215873292315487,0.00493138710469536,9.45658258762927
400,0.025,1000,0.0059455337294759,0.00321005976416314,1.19639433084066,8.63405988858761e-06,0.278596263067473,0.00510519289823635,7.58716764624109
400,0.05,1000,0.000162743111091247,0.00322029990099494,0.148284471638989,9.36879029538751e-06,0.25406010654399,0.00543684597962013,8.8242379864436
400,0.1,1000,6.40175155937195e-06,5.28065032581654e-06,0.0729244807036468,0.00109917509519239,0.227406877871063,0.00547880802280875,9.86656887756985
400,0.025,1100,0.00561902164357834,0.00286574693515776,1.02336783321136,7.77210254534197e-06,0.294899912021501,0.0054739511849703,7.91041693618449
400,0.05,1100,0.000151088730680388,0.00195148970501815,0.123160700721047,0.0115172274503161,0.272918526751933,0.00594102950302043,9.21806393725038
400,0.1,1100,5.9129002962265e-06,0.0487336171443456,0.0582424926533461,0.000880095481297585,0.241083912644287,0.00602487253330338,10.2505100780835
400,0.025,1200,0.00533122686670524,0.00258348550198024,0.892703337088969,7.07265832434809e-06,0.31033791703377,0.00580697742397324,8.19964455049476
400,0.05,1200,0.000140086486087391,0.00116957870498762,0.103704272977066,0.0100590816503495,0.292846640140076,0.0064206241273517,9.58343910664834
400,0.1,1200,5.4121054995917e-06,0.0408243834341195,1.76199910857806,0.000713669054242068,0.257193414314477,0.00656756625582548,10.6119268937282
400,0.025,1300,0.00507692813862844,0.00235048695961443,0.79147396011097,6.49724471572813e-06,0.324806507694224,0.00610698753249329,8.45826417237385
400,0.05,1300,0.000129834717011473,0.000686607503536801,0.0884113401511773,0.0088502409567728,0.313335013686438,0.00687127708793701,9.91990969071864
400,0.1,1300,4.91472033828855e-06,0.033960807803758,1.39985041936361,0.000583881298877415,0.275913506703428,0.00710339847585108,10.9525196225911
400,0.025,1400,0.00485156993573846,0.00215658032922184,0.711328230829982,0.0116785793296641,0.338275614063377,0.00637706390513976,8.6896643407856
400,0.05,1400,0.0104828009106149,0.000388848729327312,0.0762371492115888,0.00784126073485602,0.333914638856891,0.00729022602560024,10.227588091801
400,0.1,1400,4.4314203601902e-06,0.0280615172685651,1.12177302510224,0.00048072511718965,0.297230079706736,0.00762740365735025,11.2725270395378
400,0.025,1500,0.00465120497582943,0.00199380719541236,0.646680497902009,0.0109244209425207,0.350761999974902,0.00662032795018982,8.89703583340556
400,0.05,1500,0.00886026600597512,0.000206789235689896,0.0664345619162296,0.00699419221367323,0.354194395718595,0.00767628155984431,10.5072518054155
400,0.1,1500,3.97036922990508e-06,0.022720904166826,0.905451744360495,0.000397668740941836,0.320903439097886,0.00813353419144949,11.5711934962926
400,0.025,1600,0.00447243699809477,0.00185597968863843,0.593683151747772,0.0102801870570075,0.362310077858998,0.00683975333078524,9.08328439987696
400,0.05,1600,0.00756041563775125,9.77319103326938e-05,0.0584580299487041,0.00627918752440736,0.373875009211453,0.00802958770047323,10.7602594862861
400,0.1,1600,3.53793771659093e-06,0.0186295254427716,0.734597061691484,0.000330249252270613,0.34648781022753,0.00861544808232861,11.8473231902505
400,0.025,1700,0.0043123593279348,0.0017382877599033,0.54961724512054,0.00972504774854118,0.372978950951348,0.00703807260173705,9.25100008843477
400,0.05,1700,0.00650855441565369,3.55220704984415e-05,0.0518854274559716,0.00567243905249645,0.392746356799234,0.00835128775533225,10.9883838372943
400,0.1,1700,3.1387693716769e-06,0.0152624913439947,0.598783029346318,0.000275265032046919,0.373384488170307,0.00906740551963822,12.0998149496003
400,0.025,1800,0.00416849249491192,0.00163697952578322,0.512517872587868,0.00924284781957456,0.382834030302837,0.00721774145839247,9.4024601666945
400,0.05,1800,0.00564949936762518,4.84502724722145e-06,0.0464262593918006,0.00515480926257833,0.410675696284659,0.00864319195884384,11.1936362771577
400,0.1,1800,2.77569254339617e-06,0.012524005348059,0.491439752471189,0.00023030826665657,0.40093161842518,0.00948500881166816,12.3280627385719
400,0.025,1900,0.0040387246379718,0.00154911201184982,0.480936588595956,0.0088209236518343,0.391941827800811,0.00738093625148317,9.53964994817424
400,0.05,1900,0.00494187291446418,5.83403313077457e-06,0.0418608773718787,0.00471084491737975,0.427592403556548,0.00890749423165313,11.3781169206185
400,0.1,1900,2.44974187580976e-06,0.025142615722503,0.406173133346307,0.000193496166698516,0.428486641365964,0.00986561150602052,12.5321594091715
400,0.025,2000,0.00392125714168943,0.00147236089886886,0.453786576124829,0.00844924785093905,0.400366873710806,0.00752956924178206,9.66429165462717
400,0.05,2000,0.00435426829774193,2.24746478650576e-05,0.0380106423813886,0.00432802854146112,0.44347276462957,0.0091465550001735,11.5439025190069
400,0.1,2000,2.16036389517047e-06,0.0205686279862223,0.338118447263467,0.000163316973252519,0.45548989235509,0.0102083667508483,12.7129106154102
400,0.025,2100,0.00381455662377068,0.00140487670344763,0.430239280670907,0.00811980418106734,0.408170016106839,0.00766531215894438,9.7778755304874
400,0.05,2100,0.00386259782343523,3.97205676280341e-05,0.0347376417680916,0.00399619257954803,0.458326621370294,0.00936274798107292,11.6929715746677
400,0.1,2100,1.90576348769949e-06,0.0169505958456419,0.283533958325125,0.000138539598755175,0.481500161016658,0.0105139973652314,12.8717144064149
400,0.025,2200,0.00371731344372215,0.00134517636499486,0.409653897760881,0.00782612604193583,0.415407596949647,0.00778962258111657,9.88169005541028
400,0.05,2200,0.00344821691072878,5.53332888489687e-05,1.19813607287653,0.00370705439359495,0.472186518434288,0.00955836331423544,11.8271601557665
400,0.1,2200,1.68330447133357e-06,0.0140811322617172,0.239524858839861,0.000118156729899099,0.50620420889683,0.0107844158397647,13.0103763963851
400,0.025,2300,0.00362840638737931,0.00129206142382889,0.391528327355311,0.00756295226731073,0.422131169506865,0.00790377011267641,9.9768497054502
400,0.05,2300,0.00309657310134347,6.87717092357745e-05,1.1008317476942,0.003453845271542,0.485099347220911,0.0097355366140815,11.9481405657961
400,0.1,2300,1.48988825621453e-06,0.0117953124045065,0.203844925892416,0.000101344877172992,0.529407613497885,0.0110223111928906,13.1309185230102
400,0.025,2400,0.00354687287674368,0.00124455602861209,0.37546445259474,0.00732596793298509,0.428387538660112,0.0080088608205702,10.0643196480885
400,0.05,2400,0.00279621932449731,8.00504369415987e-05,1.01697665444738,0.00323101412852078,0.497120176368875,0.0098962370675592,12.0574157306553
400,0.1,2400,1.32227811591958e-06,0.00996409227316717,0.174748208983236,8.7433193950742e-05,0.55101534618885,0.0112307804387769,13.2354167835302
400,0.025,2500,0.00347188398649546,0.00120185972480349,0.36114316072797,0.00711160731252002,0.434218984023103,0.0081058592560584,10.1449372737982
400,0.05,2500,0.00253808483125062,8.93783509485673e-05,0.944214930469398,0.00303399090377225,0.508307858256532,0.0100422447254822,12.1563236174112
400,0.1,2500,1.17717777991816e-06,0.00848750469832361,0.1508755798875,7.58773151238855e-05,0.571008924696097,0.0114130410547766,13.325882143621
400,0.025,2600,0.00340272363057032,0.00116331127158256,0.348306106130891,0.00691690282594437,0.439663577506108,0.00819560787637466,10.2194307336573
400,0.05,2600,0.00231493139708165,9.70181308866607e-05,0.88067525525205,0.00285899785701721,0.518722008442975,0.0101751556524352,12.2460475112776
400,0.1,2600,0.0109041820070875,0.00728850946876468,0.131167092512807,6.62373528092887e-05,0.589423533337822,0.0115722100892509,13.4041608764344
400,0.025,2700,0.00333877111856008,0.00112836072716309,0.336742214106919,0.0067393680858468,0.444755540667606,0.00827884394119041,10.288434773634
400,0.05,2700,0.00212094407993989,0.000103229182705433,0.824858507976307,0.00270289880397991,0.528421009172187,0.0102963913442346,12.3276292675997
400,0.1,2700,0.00975715362723429,0.00630783285075597,0.946016374427407,5.81585223813157e-05,0.606333684239884,0.0117112228979945,13.4719911067993
400,0.025,2800,0.00327948667245419,0.00109654776294456,0.326202555401282,0.00657690674590554,0.449525608940638,0.00835621408572744,10.3525041956605
400,0.05,2800,0.00195142103361956,0.000108245756393104,0.775554058988976,0.00256307878656646,0.537460755488387,0.0104072120845361,12.4019836496711
400,0.1,2800,0.00876662319203415,0.00549982688001942,0.813250297623204,5.13551790898148e-05,0.621832084151742,0.0118328041507113,13.5308382332647
400,0.025,2900,0.0032243993154396,0.00106748469956155,0.316560777982723,0.00642774080602743,0.454001383711383,0.00842828682305184,10.412125271689
400,0.05,2900,0.00180253664798211,0.000112270524175819,0.731776804519883,0.00243734779276761,0.545893926891623,0.0105087319810514,12.469912581136
400,0.1,2900,0.00790906723478148,0.00482923772832653,1.00784925012701,4.55973690122061e-05,0.636023313343827,0.0119403619099564,13.5820010158755
400,0.025,3000,0.00317309674604194,0.00104084314157103,0.307769498514582,0.00629035383236047,0.45820766199576,0.00849556323679105,10.4677254118027
400,0.05,3000,0.00167115949034336,0.000115474872736699,0.692719378388867,0.00232386357087755,0.553769622283634,0.0106019342654518,12.5321186362467
400,0.1,3000,0.00716446474642029,0.00426872608620867,0.779627742726966,4.06998128807792e-05,0.649015123957757,0.0120336959850746,13.6265975436094
